question,language,slug,topic,strategy,answer_relevancy,faithfulness,context_precision,context_recall,qid
"According to the 2011 Indian census, what population rank does Chennai hold among Indian cities?",en,chennai,Chennai,fixed,0.7596050500869751,1.0,0.33,1.0,6
"According to the 2011 Indian census, what population rank does Chennai hold among Indian cities?",en,chennai,Chennai,recursive,0.7680389881134033,1.0,0.33,1.0,6
"According to the 2011 Indian census, what population rank does Chennai hold among Indian cities?",en,chennai,Chennai,semantic,0.776193380355835,1.0,0.33,1.0,6
"According to the Mahavamsa, which Chola prince invaded and conquered the Rajarata kingdom of Sri Lanka, and in what year?",en,chola_dynasty,Chola dynasty,fixed,0.8192857503890991,1.0,0.33,1.0,8
"According to the Mahavamsa, which Chola prince invaded and conquered the Rajarata kingdom of Sri Lanka, and in what year?",en,chola_dynasty,Chola dynasty,recursive,0.8038173913955688,1.0,0.67,1.0,8
"According to the Mahavamsa, which Chola prince invaded and conquered the Rajarata kingdom of Sri Lanka, and in what year?",en,chola_dynasty,Chola dynasty,semantic,0.8192857503890991,1.0,0.33,1.0,8
"According to the Skanda Purana, which Tamil words compose the etymology of the name ""Kaveri"" and what do they mean?",en,kaveri_river,Kaveri River,fixed,0.7514336109161377,1.0,0.33,1.0,9
"According to the Skanda Purana, which Tamil words compose the etymology of the name ""Kaveri"" and what do they mean?",en,kaveri_river,Kaveri River,recursive,0.2498200237751007,1.0,0.6666666667,0.5,9
"According to the Skanda Purana, which Tamil words compose the etymology of the name ""Kaveri"" and what do they mean?",en,kaveri_river,Kaveri River,semantic,0.2498200237751007,1.0,0.0,0.0,9
"According to the article, what role did Vidyaranya play in the founding of the empire?",en,vijayanagara_empire,Vijayanagara Empire,fixed,0.7655791640281677,1.0,0.67,1.0,10
"According to the article, what role did Vidyaranya play in the founding of the empire?",en,vijayanagara_empire,Vijayanagara Empire,recursive,0.6981163024902344,1.0,0.67,1.0,10
"According to the article, what role did Vidyaranya play in the founding of the empire?",en,vijayanagara_empire,Vijayanagara Empire,semantic,0.7391955852508545,1.0,0.33,1.0,10
"After being shot in 1967, how was M. G. Ramachandran's voice affected in his subsequent films?",en,m_g_ramachandran,M. G. Ramachandran,fixed,0.792878270149231,1.0,0.33,1.0,11
"After being shot in 1967, how was M. G. Ramachandran's voice affected in his subsequent films?",en,m_g_ramachandran,M. G. Ramachandran,recursive,0.7578381299972534,1.0,1.0,1.0,11
"After being shot in 1967, how was M. G. Ramachandran's voice affected in his subsequent films?",en,m_g_ramachandran,M. G. Ramachandran,semantic,0.8065500259399414,1.0,0.67,1.0,11
Approximately how many globally threatened species are found in the Western Ghats?,en,western_ghats,Western Ghats,fixed,0.5760281085968018,0.9,0.67,1.0,12
Approximately how many globally threatened species are found in the Western Ghats?,en,western_ghats,Western Ghats,recursive,0.8632267713546753,1.0,1.0,1.0,12
Approximately how many globally threatened species are found in the Western Ghats?,en,western_ghats,Western Ghats,semantic,0.8632267713546753,0.9,0.67,1.0,12
Approximately how many poems are included in the Sangam literary works?,en,tamil_language,Tamil language,fixed,0.8348861336708069,1.0,0.33,1.0,15
Approximately how many poems are included in the Sangam literary works?,en,tamil_language,Tamil language,recursive,0.8348861336708069,1.0,0.33,1.0,15
Approximately how many poems are included in the Sangam literary works?,en,tamil_language,Tamil language,semantic,0.5326551198959351,0.95,0.67,1.0,15
"Around what year has Tamil been attested, making it one of the longest‑surviving classical languages?",en,tamil_language,Tamil language,fixed,0.4268916845321655,1.0,0.33,1.0,17
